rowid,FILM,STARS,RATING,VOTES
130,Clouds of Sils Maria (2015),3.5,3.4,162
131,TCM presents Double Indemnity (2015),5.0,4.8,131
132,DCI 2015 Tour Premiere (2015),5.0,4.7,128
133,Testament of Youth (2015),4.0,3.9,127
134,Infinitely Polar Bear (2015),4.0,3.9,124
135,David and Goliath (2015),3.5,3.2,123
136,The End of the Tour (2015),4.5,4.1,121
137,"Two Days, One Night (2014)",3.5,3.5,118
138,Drishyam (2015),4.5,4.4,117
139,Bolshoi Ballet: Swan Lake (2015),4.5,4.1,112
140,Insider Access to Disney Pixarâ€™s Inside Out (2015),5.0,4.7,110
141,The Overnight (2015),3.5,3.3,110
142,Detective Byomkesh Bakshy (2015),4.0,3.9,109
143,The Last Five Years (2015),4.5,4.4,99
144,Maggie (2015),3.5,3.3,95
145,RangiTaranga (2015),5.0,4.8,85
146,Ode to My Father (2014),5.0,4.6,83
147,The Salt of the Earth (2015),4.5,4.3,83
148,A Little Chaos (2015),4.0,3.9,83
149,Angrej (2015),5.0,4.8,80
150,5 Flights Up (2015),4.0,3.6,79
151,Dior and I (2015),4.0,4.0,75
152,Timbuktu (2015),4.0,3.6,74
153,Brothers: Blood Against Blood (2015),4.0,4.0,74
154,Phoenix (2015),3.5,3.4,70
155,Above and Beyond (2015),4.5,4.4,70
156,Bolshoi Ballet: The Nutcracker (2014),4.5,4.4,70
157,Bolshoi Ballet: Romeo And Juliet (2015),4.5,4.2,68
158,A Girl Like Her (2015),4.5,4.2,66
159,Song of the Sea (2014),4.5,4.3,66
160,The Wolfpack (2015),3.5,3.4,66
161,Effie Gray (2015),3.0,2.8,65
162,Leviathan (2014),4.0,3.5,64
163,Cartel Land (2015),4.5,4.2,64
164,Sardaar Ji (2015),4.5,4.4,64
165,Classic Music Series: Led Zeppelin (2015),4.5,4.5,64
166,The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),4.0,3.9,63
167,Exhibition OnScreen: The Impressionists (2015),4.0,4.0,62
168,The Hunger Games: Mockingjay - Part 2 (2015),5.0,4.7,61
169,Kick 2 (2015),3.0,2.7,60
170,Royal Ballet: Swan Lake (2015),5.0,4.5,59
171,Iris (2015),4.0,3.8,59
172,Gett: The Trial of Viviane Amsalem (2015),3.5,3.5,59
173,ABCD 2 (2015),4.0,3.8,58
174,War Room (2015),4.0,3.8,58
175,Assassination (2015),5.0,4.6,57
176,Welcome to Me (2015),4.0,3.6,56
177,The Metropolitan Opera: Iolanta/Duke Bluebeard's Castle (2015),4.0,3.7,56
178,Dark Places (2015),4.0,3.7,55
179,Red Army (2015),4.5,4.1,54
180,Deli Man (2015),4.0,3.8,54
181,The Stanford Prison Experiment (2015),4.0,3.9,51
182,Exhibition OnScreen: Vincent Van Gogh (2015),4.5,4.1,50
183,Unity (2015),4.5,4.2,50
184,Spectre (2015),4.5,4.3,50
185,Bin Roye (2015),4.5,4.4,50
186,Serena (2015),3.0,3.0,50
187,Escobar: Paradise Lost (2015),4.0,3.9,48
188,When Marnie Was There (2015),4.5,4.1,46
189,Felix and Meira (2015),3.5,3.2,46
190,Exhibition OnScreen: Matisse (2015),4.5,4.0,45
191,Twinsters (2015),5.0,4.5,44
192,Meru (2015),4.5,4.5,44
193,Saint Laurent (2015),3.5,3.1,43
194,About Elly (2015),4.0,3.6,43
195,Masss (2015),4.0,3.7,43
196,The Hunting Ground (2015),4.5,4.1,42
197,Merchants of Doubt (2014),4.0,3.7,42
198,Hamari Adhuri Kahani (2015),4.5,4.1,41
199,Seymour: An Introduction (2015),4.5,4.2,41
200,"Kumiko, The Treasure Hunter (2015)",3.5,3.5,41
201,Premam (2015),5.0,4.5,40
202,NH 10 (2015),3.5,3.2,39
203,The Diary of a Teenage Girl (2015),4.0,3.6,38
204,The Wrecking Crew (2015),4.5,4.2,38
205,King Lear (Stratford Festival) (2015),4.5,4.2,36
206,Tangerine (2015),4.0,3.9,36
207,Maps to the Stars (2015),3.5,3.1,35
208,Do I Sound Gay? (2015),3.0,2.7,32
209,Triumph in the Skies (2015),4.0,3.8,32
210,In the Name of my Daughter (2015),4.0,3.5,31
211,The Metropolitan Opera: La Donna del Lago Encore (2015),4.5,4.0,30
212,The Oscar Nominated Short Films 2015: Live Action (2015),3.5,3.4,30
213,Just the Way You Are (2014) (2015),5.0,4.8,29
214,Man From Reno (2015),4.0,4.0,29
215,Slow West (2015),4.0,4.0,29
